tale_id,num_episodes,num_sentences,num_clauses,num_words,avg_episode_length,avg_sentence_length,avg_clause_length,avg_dep_distance_clause,avg_dep_distance_sentence,avg_dep_distance_episode,Average_Eventfulness,Average_I,CLI
1,7,46,466,2726,340.75,59.26086956521739,5.849785407725322,0.2575107296137339,2.608695652173913,15.0,0.17391304347826086,0.45368620037807184,5.756728232189971
2,12,49,514,3258,250.6153846153846,66.48979591836735,6.33852140077821,0.3735408560311284,3.9183673469387754,14.76923076923077,0.2653061224489796,1.039566847147022,5.608062234794907
3,7,101,528,3126,390.75,30.95049504950495,5.920454545454546,0.17613636363636365,0.9207920792079208,11.625,0.07920792079207921,0.07293402607587492,5.3288511950655355
4,20,107,1036,6342,302.0,59.271028037383175,6.121621621621622,2.2133204633204633,21.429906542056074,109.19047619047619,0.19626168224299065,4.205869508253996,6.126488856412131
5,10,40,480,2992,272.0,74.8,6.233333333333333,1.4,16.8,61.09090909090909,0.275,4.620000000000001,7.323691838291378
6,12,150,1252,7718,593.6923076923077,51.45333333333333,6.164536741214057,0.23722044728434505,1.98,22.846153846153847,0.08666666666666667,0.1716,5.7021159153633825
7,19,128,1186,6914,345.7,54.015625,5.829679595278246,0.3086003372681282,2.859375,18.3,0.15625,0.44677734375,5.9735310344827575
8,18,136,1178,7284,383.36842105263156,53.55882352941177,6.183361629881155,0.4609507640067912,3.9926470588235294,28.57894736842105,0.13970588235294118,0.5577962802768166,5.926936416184969
9,6,75,704,4290,612.8571428571429,57.2,6.09375,1.1590909090909092,10.88,116.57142857142857,0.09333333333333334,1.0154666666666667,6.062770270270267
10,20,108,978,5682,270.57142857142856,52.611111111111114,5.809815950920245,0.09611451942740286,0.8703703703703703,4.476190476190476,0.19444444444444445,0.169238683127572,6.173652694610777
11,7,54,412,2538,317.25,47.0,6.160194174757281,0.8883495145631068,6.777777777777778,45.75,0.14814814814814814,1.0041152263374484,5.398454288407162
12,9,57,644,3790,379.0,66.49122807017544,5.885093167701863,0.765527950310559,8.649122807017545,49.3,0.17543859649122806,1.5173899661434287,6.199097010372178
13,2,13,114,854,284.6666666666667,65.6923076923077,7.491228070175438,3.0964912280701755,27.153846153846153,117.66666666666667,0.23076923076923078,6.266272189349112,5.507934782608693
14,7,52,532,3400,425.0,65.38461538461539,6.390977443609023,2.7481203007518795,28.115384615384617,182.75,0.15384615384615385,4.325443786982249,5.8469601677148795
15,3,143,1212,7338,1834.5,51.31468531468531,6.054455445544554,0.6485148514851485,5.496503496503497,196.5,0.027972027972027972,0.15374834955254535,4.249086587436331
16,9,25,352,1920,192.0,76.8,5.454545454545454,1.1107954545454546,15.64,39.1,0.4,6.256,7.14043628013777
17,4,115,932,5642,1128.4,49.06086956521739,6.053648068669528,0.39914163090128757,3.234782608695652,74.4,0.043478260869565216,0.14064272211720227,4.842670134373641
18,22,122,1256,7358,319.9130434782609,60.31147540983606,5.85828025477707,0.32961783439490444,3.3934426229508197,18.0,0.1885245901639344,0.6397473797366299,6.010355905511812
19,3,57,538,3036,759.0,53.26315789473684,5.643122676579925,1.745353159851301,16.473684210526315,234.75,0.07017543859649122,1.1560480147737764,5.377359073359074
20,6,33,238,1278,182.57142857142858,38.72727272727273,5.369747899159663,1.3907563025210083,10.030303030303031,47.285714285714285,0.21212121212121213,2.1276400367309463,6.849530434782608
21,29,95,940,5738,191.26666666666668,60.4,6.104255319148936,2.974468085106383,29.431578947368422,93.2,0.3157894736842105,9.294182825484764,5.527472164948456
22,19,75,816,4998,249.9,66.64,6.125,0.14583333333333334,1.5866666666666667,5.95,0.26666666666666666,0.4231111111111111,5.850618651892887
23,21,149,1314,7860,357.27272727272725,52.75167785234899,5.981735159817352,0.4710806697108067,4.154362416107382,28.136363636363637,0.1476510067114094,0.6133957929822981,5.796927692769273
24,22,106,1034,6400,278.2608695652174,60.37735849056604,6.189555125725338,2.388781431334623,23.30188679245283,107.3913043478261,0.2169811320754717,5.056069775720897,6.357109658678283
25,3,11,128,778,194.5,70.72727272727273,6.078125,17.9609375,209.0,574.75,0.36363636363636365,76.0,5.392514619883038
,,,,,,,,,,,,,
tale_id,episode_id,sentence,num_words,num_clauses,dep_distance,Eventfulness,I
1,1,"There was once a miller who was poor, but he had one beautiful daughter.",16,3,106,0.3333333333333333,35.33333333333333
1,1,"It happened one day that he came to speak with the king, and, to give himself consequence, he told him that he had a daughter who could spin gold out of straw.",36,7,596,0.3333333333333333,198.66666666666666
1,1,"The king said to the miller: ""That is an art that pleases me well; if thy daughter is as clever as you say, bring her to my castle to-morrow, that I may put her to the proof.""",44,7,864,0.3333333333333333,288.0
1,2,"When the girl was brought to him, he led her into a room that was quite full of straw, and gave her a wheel and spindle, and said: ""Now set to work, and if by the early morning thou hast not spun this straw to gold thou shalt die.""",57,10,1437,0.1,143.70000000000002
1,2,"And he shut the door himself, and left her there alone.",13,2,58,0.1,5.800000000000001
1,2,"And so the poor miller's daughter was left there sitting, and could not think what to do for her life: she had no notion how to set to work to spin gold from straw, and her distress grew so great that she began to weep.",50,12,931,0.1,93.10000000000001
1,2,"Then all at once the door opened, and in came a little man, who said: ""Good evening, miller's daughter; why are you crying?""""Oh!""",36,5,456,0.1,45.6
1,2,"answered the girl, ""I have got to spin gold out of straw, and I don't understand the business.""",24,6,276,0.1,27.6
1,2,"Then the little man said: ""What will you give me if I spin it for you?""",20,3,130,0.1,13.0
1,2,"- ""My necklace,"" said the girl.",10,1,27,0.1,2.7
1,2,"The little man took the necklace, seated himself before the wheel, and whirr, whirr, whirr!",20,2,142,0.1,14.200000000000001
1,2,"three times round and the bobbin was full; then he took up another, and whirr, whirr, whirr!",22,2,141,0.1,14.100000000000001
1,2,"three times round, and that was full; and so he went on till the morning, when all the straw had been spun, and all the bobbins were full of gold.",35,7,531,0.1,53.1
1,3,"At sunrise came the king, and when he saw the gold he was astonished and very much rejoiced, for he was very avaricious.",26,6,279,0.07692307692307693,21.461538461538463
1,3,"He had the miller's daughter taken into another room filled with straw, much bigger than the last, and told her that as she valued her life she must spin it all in one night.",38,6,667,0.07692307692307693,51.307692307692314
1,3,"The girl did not know what to do, so she began to cry, and then the door opened, and the little man appeared and said: ""What will you give me if I spin all this straw into gold?",44,10,864,0.07692307692307693,66.46153846153847
1,3,"""""The ring from my finger,"" answered the girl.",13,1,51,0.07692307692307693,3.9230769230769234
1,3,"So the little man took the ring, and began again to send the wheel whirring round, and by the next morning all the straw was spun into glistening gold.",32,7,388,0.07692307692307693,29.846153846153847
1,3,"The king was rejoiced beyond measure at the sight, but as he could never have enough of gold, he had the miller's daughter taken into a still larger room full of straw, and said: ""This, too, must be spun in one night, and if you accomplish it you shall be my wife.""",63,10,1833,0.07692307692307693,141.0
1,3,"For he thought: ""Although she is but a miller's daughter, I am not likely to find any one richer in the whole world.""",29,4,354,0.07692307692307693,27.230769230769234
1,3,"As soon as the girl was left alone, the little man appeared for the third time and said: ""What will you give me if I spin the straw for you this time?""",37,6,511,0.07692307692307693,39.30769230769231
1,3,"- ""I have nothing left to give,"" answered the girl.",14,4,61,0.07692307692307693,4.6923076923076925
1,3,"""Then you must promise me the first child you have after you are queen,"" said the little man.",22,4,163,0.07692307692307693,12.538461538461538
1,3,"""But who knows whether that will happen?""",10,2,27,0.07692307692307693,2.076923076923077
1,3,"thought the girl; but as she did not know what else to do in her necessity, she promised the little man what he desired, upon which he began to spin, until all the straw was gold.",41,9,820,0.07692307692307693,63.07692307692308
1,3,"And when in the morning the king came and found all done according to his wish, he caused the wedding to be held at once, and the miller's pretty daughter became a queen.",37,8,463,0.07692307692307693,35.61538461538462
1,4,"In a year's time she brought a fine child into the world, and thought no more of the little man; but one day he came suddenly into her room, and said: ""Now give me what you promised me.""",46,6,801,0.25,200.25
1,4,"The queen was terrified greatly, and offered the little man all the riches of the kingdom if he would only leave the child; but the little man said: ""No, I would rather have something living than all the treasures of the world.""",49,7,1084,0.25,271.0
1,4,"Then the queen began to lament and to weep, so that the little man had pity upon her.",20,4,142,0.25,35.5
1,4,"""I will give you three days,"" said he, ""and if at the end of that time you cannot tell my name, you must give up the child to me.""",38,4,601,0.25,150.25
1,5,"Then the queen spent the whole night in thinking over all the names that she had ever heard, and sent a messenger through the land to ask far and wide for all the names that could be found.",40,7,672,0.25,168.0
